Country,Balls,runs,Wickets,BB
India,234,159,4,26-Jun
UAE,336,186,20,21-Mar
PAKISTAN,66,48,4,Apr-39
AUSTRIALIA,414,259,9,11-May
Pakistan,258,157,18,25-Mar
UAE,102,60,4,13-Feb
PAKISTAN,348,270,7,Apr-39
UAE,288,239,11,Apr-73
England,170,167,9,27-Feb
West-Indies,276,216,5,26-Feb
UAE,180,99,4,29-Mar
AUSTRIALIA,420,275,11,25-May
South-Africa,334,247,16,31-Mar
Zinbabwe,49,31,3,27-Jan
New-Zealand,162,77,2,30-Jun
New-Zealand,239,138,11,Jan-57
UAE,91,122,1,Feb-46
PAKISTAN,90,89,2,Mar-33
srilanka,372,291,8,Feb-35
PAKISTAN,342,267,6,Apr-32
South-Africa,461,367,21,Apr-62
Singapore,150,142,6,Mar-38
New-Zealand,192,185,9,Mar-44
UAE,354,321,9,26-Apr
PAKISTAN,264,67,11,Feb-67
India,60,160,2,Feb-51
Canada,210,131,3,Feb-49
England,156,381,4,Jun-44
UAE,481,192,21,Apr-43
AUSTRIALIA,297,80,11,Feb-32
PAKISTAN,90,180,4,May-52
Kenya,221,53,9,
UAE,60,240,0,21-Feb
PAKISTAN,302,94,8,Jan-39
Zinbabwe,108,347,1,Feb-41
South-Africa,336,49,7,Feb-49
PAKISTAN,48,76,2,Jan-32
Canada,96,36,2,Feb-36
England,54,225,2,25-Feb
AUSTRIALIA,263,223,5,Feb-34
West-Indies,324,175,4,31-May
UAE,252,89,13,22-Feb
Singapore,118,62,4,11-Feb
srilanka,90,212,2,Apr-49
UAE,234,66,8,Jan-66
PAKISTAN,60,219,1,Mar-66
New-Zealand,258,219,7,Jul-36
England,276,94,17,Jan-51
Bangladesh,150,515,1,31-Mar
UAE,633,99,23,Feb-45
PAKISTAN,126,177,4,Feb-31
Kenya,189,107,5,Jan-41
AUSTRIALIA,138,206,1,May-38
Morocco,234,107,11,Mar-50
Zinbabwe,126,416,4,Apr-41
South-Africa,444,51,17,14-Feb
srilanka,72,51,2,
